No.,ハングル,日本語意味,alphabet(読み方)
1600,엉뚱하다,とんでもない、突拍子もない,eongttunghada
1601,엉망,めちゃくちゃ,eongmang
1602,엊그제,一昨日,eotgeuje
1603,에너지,エネルギー,eneoji
1604,에이즈,エイズ,eijeu
1605,엔진,エンジン,enjin
1606,엠티,メンバーシップトレーニング,emti
1607,여가,余暇,yeoga
1608,여고생,女子高生,yeogosaeng
1609,여관,旅館,yeogwan
1610,여드름,ニキビ,yeodeureum
1611,여럿,多数,yeoreot
1612,여름날,夏の日,yeoreumnal
1613,여성,女性,yeoseong
1614,여성복,女性服,yeoseongbok
1615,여유,余裕,yeoyu
1616,여전히,依然として、相変わらず,yeojeonhi
1617,여쭈다,（目上の人に）申し上げる、伺う,yeojjuda
1618,여행비,旅費,yeohaengbi
1619,여행자,旅行者,yeohaengja
1620,여행지,旅行先,yeohaengji
1621,역사적,歴史的,yeoksajeok
1622,역시,やはり、やっぱり,yeoksi
1623,역할,役割,yeokhal
1624,연결,連結,yeongyeol
1625,연구,研究,yeongu
1626,연구소,研究所,yeonguso
1627,연구실,研究室,yeongusil
1628,연극,演劇,yeongeuk
1629,연기,延期、演技,yeongi
1630,연도,年度,yeondo
1631,연락,連絡,yeonrak
1632,연말,年末,yeonmal
1633,연말연시,年末年始,yeonmaryeonsi
1634,연상,年上,yeonsang
1635,연속,連続,yeonsok
1636,연속극,連続ドラマ,yeonsokgeuk
1637,연수,研修,yeonsu
1638,연애,恋愛,yeonae
1639,연애결혼,恋愛結婚,yeonaegyeolhon
1640,연인,恋人,yeonin
1641,연장,延長,yeonjang
1642,연주,演奏,yeonju
1643,연주회,コンサート,yeonjuhoe
1644,연하,年下,yeonha
1645,연하다,軟らかい、薄い,yeonhada
1646,연회비,年会費,yeonhoebi
1647,열대야,熱帯夜,yeoldaeya
1648,열람실,閲覧室,yeolramsil
1649,열흘,十日,yeolheul
1650,염색,カラーリング、髪を染めること,yeomsaek
1651,엿,飴,yeot
1652,영수증,領収書,yeongsujeung
1653,영양,栄養,yeongyang
1654,영양가,栄養価,yeongyangga
1655,영양분,栄養分,yeongyangbun
1656,영양소,栄養素,yeongyangso
1657,영양제,栄養剤,yeongyangje
1658,영업,営業,yeongeop
1659,영업부,営業部,yeongeopbu
1660,영역,エリア,yeongyeok
1661,영원히,永遠に,yeongwonhi
1662,영향,影響,yeonghyang
1663,영화감독,映画監督,yeonghwagamdok
1664,영화제,映画祭,yeonghwaje
1665,옆집,隣の家,yeopjip
1666,예금,預金,yegeum
1667,예매,前売り、事前購入、予約,yemae
1668,예방,予防,yebang
1669,예보,予報,yebo
1670,예상,予想,yesang
1671,예술,芸術,yesul
1672,예습,予習,yeseup
1673,예식장,結婚式場,yesikjang
1674,예의,礼儀,yeui
1675,예전,昔、ずっと前,yejeon
1676,예절,礼節、行儀,yejeol
1677,예정,予定,yejeong
1678,예측,予測,yecheuk
1679,옛,昔,yet
1680,옛말,古語、昔話,yetmal
1681,오가다,行き来する,ogada
1682,오늘날,今日,oneulnal
1683,오락,娯楽,orak
1684,오래되다,古い、久しい、長い時間が経つ,oraedoeda
1685,오랜,長い間,oraen
1686,오르내리다,上がり下がりする,oreunaerida
1687,오른손,右手,oreunson
1688,오리엔테이션,オリエンテーション,orienteisyeon
1689,오염,汚染,oyeom
1690,오토바이,バイク,otobai
1691,오페라,オペラ,opera
1692,오피스텔,オフィステル,opiseutel
1693,오해,誤解,ohae
1694,오히려,むしろ,ohiryeo
1695,온,全～、すべての,on
1696,온갖,いろいろな種類の,ongat
1697,온도,温度,ondo
1698,온돌,オンドル（暖房装置）,ondol
1699,온돌방,オンドル部屋,ondolbang
1700,온라인,オンライン,onrain
1701,온몸,全身,onmom
1702,온천,温泉,oncheon
1703,온천욕,温泉浴,oncheonyok
1704,온통,すべて、全部,ontong
1705,올리다,上げる、載せる,olrida
1706,올림픽,オリンピック,olrimpik
1707,올바르다,正しい,olbareuda
1708,옳다,正しい,olta
1709,옷차림,身なり,otcharim
1710,와인,ワイン,wain
1711,완성,完成,wanseong
1712,완전히,完全に,wanjeonhi
1713,왕,王,wang
1714,왕복,往復,wangbok
1715,왕비,王妃,wangbi
1716,왠지,なぜだか,waenji
1717,외가,母方,oega
1718,외과,外科,oegwa
1719,외교관,外交官,oegyogwan
1720,외동딸,一人娘,oedongttal
1721,외동아들,一人息子,oedongadeul
1722,외래어,外来語,oeraeeo
1723,외로움,孤独,oeroum
1724,외모,外見,oemo
1725,외식,外食,oesik
1726,외아들,一人息子,oeadeul
1727,외우다,覚える,oeuda
1728,외치다,叫ぶ、わめく,oechida
1729,요가,ヨガ,yoga
1730,요구,要求,yogu
1731,요구르트,ヨーグルト,yogureuteu
1732,요리법,レシピ,yoribeop
1733,요리사,シェフ,yorisa
1734,요새,近頃、最近,yosae
1735,요약,要約,yoyak
1736,요청,要請,yocheong
1737,욕,悪口,yok
1738,욕실,風呂場,yoksil
1739,욕심,欲,yoksim
1740,욕심쟁이,欲ばり,yoksimjaengi
1741,용,竜,yong
1742,용기,勇気,yonggi
1743,용돈,小遣い,yongdon
1744,용서,容赦、許すこと,yongseo
1745,우등상,優等賞,udeungsang
1746,우리말,韓国語,urimal
1747,우물,井戸,umul
1748,우수성,優秀性,ususeong
1749,우승,優勝,useung
1750,우아하다,優雅だ,uahada
1751,우연,偶然,uyeon
1752,우연히,偶然に,uyeonhi
1753,우울증,うつ病,uuljeung
1754,우울하다,憂うつだ,uulhada
1755,우정,友情,ujeong
1756,우주,宇宙,uju
1757,우주여행,宇宙旅行,ujuyeohaeng
1758,우편,郵便,upyeon
1759,우편물,郵便物,upyeonmul
1760,우편배달,郵便配達,upyeonbaedal
1761,운,運,un
1762,운명,運命,unmyeong
1763,운전기사,運転手,unjeongisa
1764,운전면허,運転免許証,unjeonmyeonheo
1765,운전자,ドライバー,unjeonja
1766,울보,泣き虫,ulbo
1767,울음,泣くこと,ureum
1768,웃어른,目上の人,useoreun
1769,웃음,笑い,useum
1770,워낙,あまりにも、何しろ,wonak
1771,원고,原稿,wongo
1772,원래,元々,wonrae
1773,원룸,ワンルーム,wonrum
1774,원리,原理,wonri
1775,원서,願書,wonseo
1776,원숭이,サル,wonsungi
1777,원인,原因,wonin
1778,월말,月末,wolmal
1779,웨딩드레스,ウェディングドレス,wedingdeureseu
1780,위대하다,偉大だ,widaehada
1781,위로,慰労,wiro
1782,위반,違反,wiban
1783,윗사람,目上の人,witsaram
1784,유난히,ひときわ、際立って、とりわけ,yunanhi
1785,유니폼,ユニフォーム,yunipom
1786,유람선,遊覧船,yuramseon
1787,유료,有料,yuryo
1788,유리창,窓ガラス,yurichang
1789,유머,ユーモア,yumeo
1790,유명,有名,yumyeong
1791,유적지,遺跡地,yujeokji
1792,유창하다,流暢だ,yuchanghada
1793,유치원,幼稚園,yuchiwon
1794,유쾌하다,愉快だ,yukwaehada
1795,유행어,流行語,yuhaengeo
1796,육식,肉食,yuksik
1797,육아,育児,yuga
1798,윷놀이,韓国のすごろく,yutnori
1799,은,銀,eun
1800,은혜,恩恵、恵み,eunhye
1801,음력,陰暦,eumryeok
1802,음료,飲料、飲み物,eumryo
1803,음성,音声,eumseong
1804,음식물,食べ物、飲食物,eumsikmul
1805,음식점,レストラン、食堂,eumsikjeom
1806,음악회,音楽会,eumakhoe
1807,음주,飲酒,eumju
1808,응급실,応急室,eunggeupsil
1809,응답,応答、回答,eungdap
1810,응답자,回答者、応答者,eungdapja
1811,응시자,受験者,eungsija
1812,응원,応援,eungwon
1813,의견,意見,uigyeon
1814,의논,相談、議論,uinon
1815,의류,衣類,uiryu
1816,의무,義務,uimu
1817,의문,疑問,uimun
1818,의사소통,意思疎通,uisasotong
1819,의상,衣装,uisang
1820,의식주,衣食住,uisikju
1821,의심,疑心、疑い,uisim
1822,의외로,意外に,uioero
1823,의욕,意欲,uiyok
1824,의의,意義,uiui
1825,의지,意志,uiji
1826,의하다,依る、基づく,uihada
1827,의학,医学,uihak
1828,의학적,医学的,uihakjeok
1829,이것저것,あれこれ,igeotjeogeot
1830,이국적,異国的,igukjeok
1831,이기다,勝つ,igida
1832,이기적,利己的,igijeok
1833,이끌다,引く、導く,ikkeulda
1834,이내,すぐ,inae
1835,이다 ～,だ、である,ida ～
1836,이동,移動,idong
1837,이따,のちほど,itta
1838,이때,この時,ittae
1839,이러하다,こうだ,ireohada
1840,이런저런,あれこれ,ireonjeoreon
1841,이루다,成す、作り上げる,iruda
1842,이루어지다,構成される、形成される,irueojida
1843,이름나다,有名になる,ireumnada
1844,이름표,ネームタグ,ireumpyo
1845,이리,こちらへ,iri
1846,이리저리,あっちこっち,irijeori
1847,이마,額,ima
1848,이만,これぐらいの、この程度の,iman
1849,이만큼,これくらい,imankeum
1850,이미,すでに,imi
1851,이미지,画像、イメージ,imiji
1852,이민,移民,imin
1853,이별,別れ,ibyeol
1854,이불,布団,ibul
1855,이비인후과,耳鼻咽喉科,ibiinhugwa
1856,이삿짐,引っ越しの荷物,isatjim
1857,이상형,好きなタイプ、理想のタイプ、理想の人,isanghyeong
1858,이성,理性,iseong
1859,이어지다,相次ぐ、続く、繋がる,ieojida
1860,이어폰,イヤホン,ieopon
1861,이외,以外,ioe
1862,이용료,利用料,iyongryo
1863,이용자,利用者,iyongja
1864,이웃,隣、隣の家,iut
1865,이웃집,お隣,iutjip
1866,이익,利益,iik
1867,이자,利子,ija
1868,이전,以前,ijeon
1869,이제야,今やっと,ijeya
1870,이하,以下,iha
1871,이해력,理解力,ihaeryeok
1872,이해심,思いやり,ihaesim
1873,이혼,離婚,ihon
1874,이후,以後,ihu
1875,익숙하다,よく知られている、慣れている,iksukhada
1876,익히다,煮る、身につける、習う,ikhida
1877,인간,人間,ingan
1878,인간관계,人間関係,ingangwangye
1879,인간성,人間性,inganseong
1880,인간적,人間的,inganjeok
1881,인류,人類,inryu
1882,인사말,ご挨拶,insamal
1883,인상적,印象的,insangjeok
1884,인생,人生,insaeng
1885,인쇄,印刷,inswae
1886,인쇄물,印刷物,inswaemul
1887,인스턴트,インスタント,inseuteonteu
1888,인원,人員,inwon
1889,인정받다,認定されている、認められる,injeongbatda
1890,인출기,ATM,inchulgi
1891,인턴사원,インターン,inteonsawon
1892,인하다,基づく、原因による,inhada
1893,일기장,日記帳,ilgijang
1894,일단,まず、一旦,ildan
1895,일등,一等,ildeung
1896,일반,一般,ilban
1897,일반인,一般人,ilbanin
1898,일반적,一般的,ilbanjeok
1899,일부,一部,ilbu
1900,일부러,わざと、わざわざ,ilbureo
1901,일상,日常,ilsang
1902,일상적,日常的,ilsangjeok
1903,일생,一生,ilsaeng
1904,일시,一時,ilsi
1905,일시불,一括払い,ilsibul
1906,일으키다,起こす、興す,ireukida
1907,일자리,働き口、職場,iljari
1908,일정,日程,iljeong
1909,일정하다,一定だ,iljeonghada
1910,일출,日の出,ilchul
1911,일회용품,使い捨て,ilhoeyongpum
1912,읽히다,読まれる,ikhida
1913,임산부,妊婦,imsanbu
1914,임시,臨時,imsi
1915,임신,妊娠,imsin
1916,입금,入金,ipgeum
1917,입맛,食欲,ipmat
1918,입술,唇,ipsul
1919,입시,入試、入学試験,ipsi
1920,입장,入場,ipjang
1921,입장권,入場券,ipjanggwon
1922,입장료,入場料,ipjangryo
1923,입학시험,入学試験,iphaksiheom
1924,입히다,着せる,iphida
1925,잇다,繋ぐ、結ぶ、続ける,itda
1926,잎,葉,ip
1927,자격,資格,jagyeok
1928,자격증,資格証,jagyeokjeung
1929,자극적,刺激的,jageukjeok
1930,자꾸,しきりに,jakku
1931,자녀,子女,janyeo
1932,자동,自動,jadong
1933,자라다,成長する,jarada
1934,자랑,自慢,jarang
1935,자료실,アーカイブ、資料室,jaryosil
1936,자막,字幕,jamak
1937,자매,姉妹,jamae
1938,자살,自殺,jasal
1939,자세하다,詳しい、細かい,jasehada
1940,자세히,詳しく,jasehi
1941,자식,息子や娘、子息,jasik
1942,자신감,自信、自信感,jasingam
1943,자연적,自然的,jayeonjeok
1944,자외선,紫外線,jaoeseon
1945,자원,資源,jawon
1946,자음,子音,jaeum
1947,자존심,自尊心、プライド,jajonsim
1948,자취,自炊,jachwi
1949,자판기,自販機,japangi
1950,작가,作家,jakga
1951,작곡,作曲,jakgok
1952,작문,作文,jakmun
1953,작사,作詞,jaksa
1954,작아지다,小さくなる,jagajida
1955,작업,作業,jageop
1956,작품,作品,jakpum
1957,잔돈,小銭,jandon
1958,잔디,芝生,jandi
1959,잔디밭,芝生,jandibat
1960,잔뜩,いっぱい,jantteuk
1961,잔소리,小言,jansori
1962,잔액,残額,janaek
1963,잠그다,（鍵を）かける,jamgeuda
1964,잠기다,掛かる、浸かる,jamgida
1965,잠들다,眠る,jamdeulda
1966,잠옷,パジャマ、寝間着,jamot
1967,잠자리,トンボ,jamjari
1968,잡수다,召し上がる,japsuda
1969,잡아먹다,捕って食べる,jabameokda
1970,잡채,チャプチェ,japchae
1971,잡히다,捕まる,japhida
1972,장가,男が結婚すること,jangga
1973,장가가다 (,男性が)結婚する,janggagada (
1974,장기적,長期的,janggijeok
1975,장난,いたずら、わるふざけ,jangnan
1976,장난감,おもちゃ,jangnangam
1977,장난꾸러기,いたずらっ子,jangnankkureogi
1978,장남,長男,jangnam
1979,장녀,長女,jangnyeo
1980,장단점,長所と短所、一長一短、メリットとデメリット,jangdanjeom
1981,장래,将来,jangrae
1982,장례식,葬式,jangryesik
1983,장례식장,葬儀場,jangryesikjang
1984,장바구니,買い物かご,jangbaguni
1985,장사,商売,jangsa
1986,장애,障害,jangae
1987,장애인,障害者,jangaein
1988,장학,奨学,janghak
1989,장학금,奨学金,janghakgeum
1990,재발급,再発給,jaebalgeup
1991,재산,財産,jaesan
1992,재작년,一昨年,jaejaknyeon
1993,재주,才能、素質,jaeju
1994,재즈,ジャズ,jaejeu
1995,재테크,財テク,jaetekeu
1996,재학,在学,jaehak
1997,재해,災害,jaehae
1998,재혼,再婚,jaehon
1999,재활용,リサイクル,jaehwaryong
2000,재활용품,リサイクル用品,jaehwaryongpum
2001,쟤,あの子,jyae
2002,저금,貯金,jeogeum
2003,저금통,貯金箱,jeogeumtong
2004,저렴하다,安い,jeoryeomhada
2005,저울,秤（はかり）,jeoul
2006,저장,貯蔵、保存,jeojang
2007,저절로,自然に、自ずと,jeojeolro
2008,저축,貯蓄,jeochuk
2009,적극적,積極的,jeokgeukjeok
2010,적금,積み立て、積立預金,jeokgeum
2011,적당하다,適当だ、丁度良い,jeokdanghada
2012,적당히,適当に,jeokdanghi
2013,적성,適正,jeokseong
2014,적어도,少なくとも,jeogeodo
2015,적어지다,少なくなる,jeogeojida
2016,적응,適応,jeogeung
2017,적절하다,適切だ,jeokjeolhada
2018,전구,電球,jeongu
2019,전국,全国,jeonguk
2020,전국적,全国的,jeongukjeok
2021,전기,電気,jeongi
2022,전날,前の日,jeonnal
2023,전달,伝達,jeondal
2024,전동차,電車,jeondongcha
2025,전등,電灯,jeondeung
2026,전망,展望,jeonmang
2027,전문가,専門家,jeonmunga
2028,전문적,専門的,jeonmunjeok
2029,전문점,専門店,jeonmunjeom
2030,전반전,前半戦,jeonbanjeon
2031,전부,全部,jeonbu
2032,전산실,電算室,jeonsansil
2033,전세,保証金制度,jeonse
2034,전셋집,借家,jeonsetjip
2035,전시,展示,jeonsi
2036,전시회,展示会,jeonsihoe
2037,전원,電源,jeonwon
2038,전자,電子,jeonja
2039,전자레인지,電子レンジ,jeonjareinji
2040,전쟁,戦争,jeonjaeng
2041,전철,地下鉄、電車,jeoncheol
2042,전체,全体,jeonche
2043,전체적,全体的,jeonchejeok
2044,전통,伝統,jeontong
2045,전통문화,伝統文化,jeontongmunhwa
2046,전통적,伝統的,jeontongjeok
2047,전화벨,電話のベル,jeonhwabel
2048,절대로,絶対に,jeoldaero
2049,절반,半分、折半,jeolban
2050,절약,節約,jeoryak
2051,젊은이,若者,jeolmeuni
2052,젊음,若さ,jeolmeum
2053,점잖다,礼儀正しい、温厚だ,jeomjanta
2054,점점,だんだんと、徐々に,jeomjeom
2055,점차,徐々に,jeomcha
2056,접다,折る、畳む,jeopda
2057,접수,受付,jeopsu
2058,접하다,接する,jeophada
2059,정,情,jeong
2060,정기적,定期的,jeonggijeok
2061,정답,正解,jeongdap
2062,정말로,本当に,jeongmalro
2063,정보화,情報化,jeongbohwa
2064,정부,政府,jeongbu
2065,정상,正常,jeongsang
2066,정상적,正常的,jeongsangjeok
2067,정성,誠意、真心,jeongseong
2068,정성껏,心をこめて,jeongseongkkeot
2069,정신,精神,jeongsin
2070,정신없다,忙しくて気が抜ける,jeongsineopda
2071,정신없이,我を忘れて、無我夢中で,jeongsineopsi
2072,정신적,精神的,jeongsinjeok
2073,정의,正義,jeongui
2074,정장,フォーマル服、スーツ,jeongjang
2075,정전,停電,jeongjeon
2076,정지,停止,jeongji
2077,정직하다,正直だ,jeongjikhada
2078,정차,停車,jeongcha
2079,정체,正体,jeongche
2080,정치,政治,jeongchi
2081,정치가,政治家,jeongchiga
2082,정치인,政治家,jeongchiin
2083,정치학,政治学,jeongchihak
2084,정확하다,正確だ,jeonghwakhada
2085,정확히,正確に,jeonghwakhi
2086,젖다,浸る（ひたる）、ぬれる,jeotda
2087,제공,提供,jegong
2088,제대로,きちんと、満足に,jedaero
2089,제도,制度,jedo
2090,제때,適時、定時,jettae
2091,제발,どうか、頼むから,jebal
2092,제비,くじ、抽選、燕,jebi
2093,제사,法事、祭祀,jesa
2094,제시간,定時,jesigan
2095,제안,提案,jean
2096,제자,弟子,jeja
2097,제자리,もとの場所、自分の位置,jejari
2098,제작,製作,jejak
2099,제출,提出,jechul
2100,제품,製品,jepum
2101,제한,制限,jehan
2102,조개,貝,jogae
2103,조건,条件,jogeon
2104,조교,助手,jogyo
2105,조깅,ジョギング,joging
2106,조르다,せがむ、締める,joreuda
2107,조리,調理,jori
2108,조리법,調理法,joribeop
2109,조림,煮つけ、煮物,jorim
2110,조만간,遅かれ早かれ,jomangan
2111,조명,照明,jomyeong
2112,조미료,調味料,jomiryo
2113,조상,先祖,josang
2114,조심,用心すること,josim
2115,조절,調節,jojeol
2116,족발,豚足,jokbal
2117,존경,尊敬,jongyeong
2118,졸다,居眠りする,jolda
2119,졸리다,眠い,jolrida
2120,졸업식,卒業式,joreopsik
2121,졸음,眠気,joreum
2122,좀처럼,なかなか～しない,jomcheoreom
2123,좁히다,狭める,jophida
2124,종교,宗教,jonggyo
2125,종이컵,紙コップ,jongikeop
2126,종종,ときどき、しばしば,jongjong
2127,종합,総合,jonghap
2128,좌석,座席,jwaseok
2129,좌우,左右,jwau
2130,좌회전,左折,jwahoejeon
2131,주거,住居,jugeo
2132,주고받다,やり取りする,jugobatda
2133,주년 ～,周年,junyeon ～
2134,주름,しわ,jureum
2135,주먹,こぶし、げんこつ,jumeok
2136,주문서,注文書,jumunseo
2137,주민,住民,jumin
2138,주방,厨房、キッチン,jubang
2139,주식회사,株式会社,jusikhoesa
2140,주어지다,与えられる,jueojida
2141,주유소,ガソリンスタンド、給油所,juyuso
2142,주의,注意,juui
2143,주인공,主人公,juingong
2144,주장,主張,jujang
2145,주제,主題、テーマ,juje
2146,주택,住宅,jutaek
2147,주택가,住宅街,jutaekga
2148,죽음,死,jugeum
2149,죽이다,殺す、かっこいい、すごい,jugida
2150,준비물,持ち物,junbimul
2151,줄거리,ストーリー、あらすじ,julgeori
2152,줄무늬,縞模様(しまもよう),julmunui
2153,줄어들다,減る,jureodeulda
2154,줄이다,減らす、縮める,jurida
2155,줍다,拾う,jupda
2156,중간,中間,junggan
2157,중개소,仲介所,junggaeso
2158,중고,中古,junggo
2159,중고차,中古車,junggocha
2160,중고품,中古品,junggopum
2161,중급,中級,junggeup
2162,중단,中断,jungdan
2163,중부,中部,jungbu
2164,중소기업,中小企業,jungsogieop
2165,중심지,中心地,jungsimji
2166,중앙,中央,jungang
2167,중요성,重要性,jungyoseong
2168,쥐,ネズミ,jwi
2169,즉,すなわち、つまり,jeuk
2170,즐거움,楽しみ,jeulgeoum
2171,증가,増加,jeungga
2172,증명서,証明書,jeungmyeongseo
2173,증상,症状,jeungsang
2174,지겹다,うんざりする、飽きる,jigyeopda
2175,지구,地球,jigu
2176,지나가다,通り過ぎる,jinagada
2177,지나치다,度が過ぎる,jinachida
2178,지난해,去年,jinanhae
2179,지루하다,飽き飽きする,jiruhada
2180,지붕,屋根,jibung
2181,지식,知識,jisik
2182,지역,地域,jiyeok
2183,지옥,地獄,jiok
2184,지우다,なくす、消す、落とす,jiuda
2185,지원,サポート,jiwon
2186,지원자,支援者,jiwonja
2187,지위,地位,jiwi
2188,지저분하다,汚らしい、散らかっている,jijeobunhada
2189,지점,地点、支店,jijeom
2190,지진,地震,jijin
2191,지출,支出,jichul
2192,지치다,疲れる、くたびれる,jichida
2193,지켜보다,見守る、世話する,jikyeoboda
2194,지퍼,ファスナー,jipeo
2195,지휘자,指揮者,jihwija
2196,직선,直線,jikseon
2197,직장인,会社員,jikjangin
2198,직접적,直接的,jikjeopjeok
2199,직진,ストレート,jikjin
2200,직후,直後,jikhu
2201,진실,真実,jinsil
2202,진심,真心、本気,jinsim
2203,진짜,本当、マジ,jinjja
2204,진찰,診察,jinchal
2205,진통제,鎮痛剤,jintongje
2206,진하다,濃い,jinhada
2207,진학,進学,jinhak
2208,진행,進行,jinhaeng
2209,진행자,司会者,jinhaengja
2210,질병,疾病,jilbyeong
2211,질서,秩序,jilseo
2212,질투,嫉妬,jiltu
2213,질환,疾患,jilhwan
2214,짐승,獣,jimseung
2215,집값,住宅価格,jipgap
2216,집다,つかむ,jipda
2217,집들이,引っ越しパーティー,jipdeuri
2218,집세,家賃,jipse
2219,집안,家柄,jiban
2220,집안일,家事,jibanil
2221,집주인,大家,jipjuin
2222,집중,集中,jipjung
2223,집중력,集中力,jipjungryeok
2224,짙다,濃い、深い,jitda
2225,짜증,イライラ,jjajeung
2226,짝,片方、ペア,jjak
2227,짝사랑,片思い,jjaksarang
2228,짝수,偶数,jjaksu
2229,쫓기다,追われる,jjotgida
2230,쫓다,追う,jjotda
2231,쫓아내다,追い出す,jjochanaeda
2232,쫓아다니다,追い回す,jjochadanida
2233,쭉,ずらりと、ずっと,jjuk
2234,찌다,（肉が）つく、太る,jjida
2235,찜질,チムジル、温療法,jjimjil
2236,찜통더위,蒸し暑さ,jjimtongdeowi
2237,찢다,破る、裂く,jjitda
2238,찢어지다,破れる,jjijeojida
2239,차라리,むしろ,charari
2240,차례,順序、順番,charye
2241,차분하다,物静かだ,chabunhada
2242,차이,差,chai
2243,차이점,違い、異なる点、差異点,chaijeom
2244,착각,錯覚、勘違い,chakgak
2245,찬물,おひや,chanmul
2246,찬성,賛成,chanseong
2247,참가,参加,chamga
2248,참고,参考,chamgo
2249,참기름,ゴマ油,chamgireum
2250,참다,こらえる、我慢する,chamda
2251,참석,参席、参加,chamseok
2252,참여,参与、立ち合い,chamyeo
2253,참치,マグロ,chamchi
2254,찻집,お茶屋、喫茶店,chatjip
2255,창,窓,chang
2256,창피,恥,changpi
2257,찾아내다,探し出す,chajanaeda
2258,찾아다니다,探し回る,chajadanida
2259,찾아보다,調べる、探してみる,chajaboda
2260,채널,チャンネル,chaeneol
2261,채식,菜食,chaesik
2262,채식주의자,菜食主義者、ベジタリアン,chaesikjuuija
2263,채용,採用,chaeyong
2264,채우다,補う,chaeuda
2265,채팅,チャット,chaeting
2266,책임지다,責任を負う,chaegimjida
2267,챙기다,取りまとめる、用意する,chaenggida
2268,처녀,処女,cheonyeo
2269,처리,処理,cheori
2270,처방,処方,cheobang
2271,처방전,処方箋,cheobangjeon
2272,천국,天国,cheonguk
2273,천사,天使,cheonsa
2274,천장,天井,cheonjang
2275,천재,天才、天災,cheonjae
2276,철학,哲学,cheolhak
2277,첫날,初日,cheotnal
2278,첫눈,初雪,cheotnun
2279,첫사랑,初恋,cheotsarang
2280,첫인상,第一印象,cheosinsang
2281,청구서,請求書,cheongguseo
2282,청년,青年,cheongnyeon
2283,청소년,青少年,cheongsonyeon
2284,청첩장,招待状,cheongcheopjang
2285,청혼,プロポーズ,cheonghon
2286,체격,体格,chegyeok
2287,체온,体温,cheon
2288,체육,体育,cheyuk
2289,체육관,体育館,cheyukgwan
2290,체조,体操,chejo
2291,체중,体重,chejung
2292,체험,体験,cheheom
2293,쳐다보다,見上げる、見つめる、眺める,chyeodaboda
2294,초급,初級,chogeup
2295,초기,初期,chogi
2296,초대장,招待状,chodaejang
2297,초보자,初心者,choboja
2298,초청장,招待状,chocheongjang
2299,총,銃,chong
2300,총무과,総務課,chongmugwa
2301,촬영장,撮影所,chwaryeongjang
2302,촬영지,撮影地,chwaryeongji
2303,최근,最近,choegeun
2304,최대,最大,choedae
2305,최선,最善,choeseon
2306,최신,最新,choesin
2307,최저,最低,choejeo
2308,최종,最終,choejong
2309,최초,最初,choecho
2310,최후,最後,choehu
2311,추가,追加,chuga
2312,추위,寒さ,chuwi
2313,추천,推薦,chucheon
2314,추천서,推薦状,chucheonseo
2315,추첨,抽選,chucheom
2316,추측,推測,chucheuk
2317,출국,出国,chulguk
2318,출근길,出勤途中、出勤時,chulgeungil
2319,출력,出力,chulryeok
2320,출산,出産,chulsan
2321,출산율,出産率,chulsanyul
2322,출생,出生,chulsaeng
2323,출석,出席,chulseok
2324,출신,出身,chulsin
2325,출입,出入り,churip
2326,출입국,出入国,churipguk
2327,출퇴근,出勤と退社,chultoegeun
2328,출판사,出版社,chulpansa
2329,충격,衝撃,chunggyeok
2330,충고,忠告,chunggo
2331,충돌,衝突,chungdol
2332,충분하다,十分だ,chungbunhada
2333,충분히,十分に,chungbunhi
2334,취업,就職,chwieop
2335,취업난,就職難,chwieopnan
2336,취침,就寝,chwichim
2337,취하다,酔う,chwihada
2338,측,側,cheuk
2339,치료제,治療薬,chiryoje
2340,치수,寸法,chisu
2341,치우다,片づける、掃除する,chiuda
2342,치즈,チーズ,chijeu
2343,친어머니,実母、実の母,chineomeoni
2344,친환경,環境に優しい,chinhwangyeong
2345,침,つば,chim
2346,침실,寝室,chimsil
2347,칭찬,称賛,chingchan
2348,카네이션,カーネーション,kaneisyeon
2349,카세트,カセット,kaseteu
2350,카센터,カーセンター,kasenteo
2351,카페인,カフェイン,kapein
2352,카펫,カーペット,kapet
2353,칸,空欄、欄,kan
2354,칼국수,カルグクス、韓国式うどん,kalguksu
2355,캄캄하다,真っ暗だ,kamkamhada
2356,캠퍼스,キャンパス,kaempeoseu
2357,캠프,キャンプ,kaempeu
2358,커다랗다,非常に大きい,keodarata
2359,커지다,大きくなる,keojida
2360,커튼,カーテン,keoteun
2361,커플,カップル,keopeul
2362,컴퓨터실,コンピューター室,keompyuteosil
2363,켜지다,（火・電灯が）つく,kyeojida
2364,코끼리,象,kokkiri
2365,코너,コーナー,koneo
2366,코미디,コメディー,komidi
2367,코미디언,コメディアン,komidieon
2368,콘서트,コンサート,konseoteu
2369,콘센트,コンセント,konsenteu
2370,콩나물,豆もやし,kongnamul
2371,퀴즈,クイズ,kwijeu
2372,큰길,大通り,keungil
2373,큰돈,大金,keundon
2374,큰소리,大きな声、大声,keunsori
2375,큰일,大ごと、重大なこと、大事,keunil
2376,클래식,クラシック,keulraesik
2377,클릭,クリック,keulrik
2378,키우다,大きくする、育てる,kiuda
2379,타입,タイプ,taip
2380,탈,事故、故障、仮面,tal
2381,탈의실,脱衣室、試着室,taruisil
2382,탈춤,仮面舞踊、タルチュム,talchum
2383,탑승구,搭乗口,tapseunggu
2384,탕,スープ、汁,tang
2385,태도,態度,taedo
2386,태양,太陽,taeyang
2387,태양열,太陽熱,taeyangyeol
2388,태우다,焼く、燃やす,taeuda
2389,택배,宅配、宅配便,taekbae
2390,택배비,宅配費,taekbaebi
